Slice,Count,TotalArea,AverageSize,AreaPerc,Mean,Block
OREw_DGRP088_R1_24_04-1.tif,1,309793,309793,39.547,255,B1
OREw_DGRP088_R1_24_05-1.tif,1,227779,227779,29.077,255,B1
OREw_DGRP088_R1_24_06-1.tif,1,262450,262450,33.503,255,B1
OREw_DGRP088_R1_24_07-1.tif,1,311998,311998,39.828,255,B1
OREw_DGRP088_R1_24_08-1.tif,1,287652,287652,36.72,255,B1
OREw_DGRP088_R1_24_09-1.tif,1,286871,286871,36.621,255,B1
OREw_DGRP088_R1_24_10-1.tif,1,300846,300846,38.405,255,B1
OREw_DGRP088_R1_24_11-1.tif,1,249174,249174,31.808,255,B1
OREw_DGRP088_R1_24_12-1.tif,1,240006,240006,30.638,255,B1
OREw_DGRP088_R1_24_13-1.tif,1,317367,317367,40.514,255,B1
OREw_DGRP088_R1_24_14-1.tif,1,343146,343146,43.804,255,B1
OREw_DGRP088_R1_24_15-1.tif,1,335105,335105,42.778,255,B1
OREw_DGRP088_R1_24_16-1.tif,1,224415,224415,28.648,255,B1
OREw_DGRP088_R1_24_17-1.tif,1,264383,264383,33.75,255,B1
OREw_DGRP088_R1_24_18-1.tif,1,255526,255526,32.619,255,B1
OREw_DGRP088_R1_24_19-1.tif,1,304855,304855,38.916,255,B1
OREw_DGRP088_R1_24_20-1.tif,1,303100,303100,38.692,255,B1
OREw_DGRP091_R1_24_01-1.tif,1,277887,277887,35.474,255,B1
OREw_DGRP091_R1_24_02-1.tif,1,286310,286310,36.549,255,B1
OREw_DGRP091_R1_24_03-1.tif,1,364948,364948,46.588,255,B1
OREw_DGRP091_R1_24_04-1.tif,1,352118,352118,44.95,255,B1
OREw_DGRP091_R1_24_05-1.tif,1,321694,321694,41.066,255,B1
OREw_DGRP091_R1_24_06-1.tif,1,301830,301830,38.53,255,B1
OREw_DGRP091_R1_24_07-1.tif,1,262978,262978,33.571,255,B1
OREw_DGRP091_R1_24_08-1.tif,1,289085,289085,36.903,255,B1
OREw_DGRP091_R1_24_09-1.tif,1,271738,271738,34.689,255,B1
OREw_DGRP091_R1_24_10-1.tif,1,249862,249862,31.896,255,B1
OREw_DGRP091_R1_24_11-1.tif,1,270412,270412,34.52,255,B1
OREw_DGRP091_R1_24_12-1.tif,1,352796,352796,45.036,255,B1
OREw_DGRP091_R1_24_13-1.tif,1,281323,281323,35.912,255,B1
OREw_DGRP091_R1_24_14-1.tif,1,325553,325553,41.559,255,B1
OREw_DGRP091_R1_24_15-1.tif,1,274627,274627,35.058,255,B1
OREw_DGRP091_R1_24_16-1.tif,1,339328,339328,43.317,255,B1
OREw_DGRP399_R1_24_01-1.tif,1,324505,324505,41.425,255,B1
OREw_DGRP399_R1_24_02-1.tif,1,327894,327894,41.857,255,B1
OREw_DGRP399_R1_24_03-1.tif,1,370908,370908,47.348,255,B1
OREw_DGRP399_R1_24_04-1.tif,1,339653,339653,43.358,255,B1
OREw_DGRP399_R1_24_05-1.tif,1,348897,348897,44.539,255,B1
OREw_DGRP399_R1_24_06-1.tif,1,356893,356893,45.559,255,B1
OREw_DGRP399_R1_24_07-1.tif,1,361439,361439,46.14,255,B1
OREw_DGRP399_R1_24_08-1.tif,1,375337,375337,47.914,255,B1
OREw_DGRP399_R1_24_09-1.tif,1,332711,332711,42.472,255,B1
OREw_DGRP399_R1_24_10-1.tif,1,345795,345795,44.143,255,B1
OREw_DGRP399_R1_24_11-1.tif,1,341708,341708,43.621,255,B1
OREw_DGRP399_R1_24_12-1.tif,1,339326,339326,43.317,255,B1
OREw_DGRP399_R1_24_13-1.tif,1,320535,320535,40.918,255,B1
OREw_DGRP399_R1_24_14-1.tif,1,307079,307079,39.2,255,B1
OREw_DGRP399_R1_24_15-1.tif,1,277562,277562,35.432,255,B1
OREw_DGRP399_R1_24_16-1.tif,1,344878,344878,44.025,255,B1
OREw_DGRP399_R1_24_17-1.tif,1,354238,354238,45.22,255,B1
OREw_DGRP399_R1_24_18-1.tif,1,344987,344987,44.039,255,B1
OREw_DGRP399_R1_24_19-1.tif,1,323833,323833,41.339,255,B1
OREw_DGRP399_R1_24_20-1.tif,1,343124,343124,43.802,255,B1
OREw_DGRP040_R1_24_01-1.tif,1,313685,313685,40.044,255,B1
OREw_DGRP040_R1_24_02-1.tif,1,363420,363420,46.392,255,B1
OREw_DGRP040_R1_24_03-1.tif,1,344724,344724,44.006,255,B1
OREw_DGRP040_R1_24_04-1.tif,1,347982,347982,44.422,255,B1
OREw_DGRP040_R1_24_05-1.tif,1,297582,297582,37.988,255,B1
OREw_DGRP040_R1_24_06-1.tif,1,347612,347612,44.374,255,B1
OREw_DGRP040_R1_24_07-1.tif,1,333221,333221,42.537,255,B1
OREw_DGRP040_R1_24_08-1.tif,1,317249,317249,40.498,255,B1
OREw_DGRP040_R1_24_09-1.tif,1,319551,319551,40.792,255,B1
OREw_DGRP040_R1_24_10-1.tif,1,308757,308757,39.414,255,B1
OREw_DGRP040_R1_24_11-1.tif,1,318603,318603,40.671,255,B1
OREw_DGRP040_R1_24_12-1.tif,1,279692,279692,35.704,255,B1
OREw_DGRP040_R1_24_13-1.tif,1,295882,295882,37.771,255,B1
OREw_DGRP040_R1_24_14-1.tif,1,348615,348615,44.503,255,B1
OREw_DGRP040_R1_24_15-1.tif,1,341295,341295,43.568,255,B1
OREw_DGRP040_R1_24_16-1.tif,1,308455,308455,39.376,255,B1
OREw_DGRP040_R1_24_17-1.tif,1,348873,348873,44.535,255,B1
OREw_DGRP040_R1_24_18-1.tif,1,355693,355693,45.406,255,B1
OREw_DGRP040_R1_24_19-1.tif,1,217737,217737,27.795,255,B1
OREw_DGRP040_R1_24_20-1.tif,1,282964,282964,36.122,255,B1
OREw_DGRP041_R1_24_01-1.tif,1,345296,345296,44.079,255,B1
OREw_DGRP041_R1_24_02-1.tif,1,348529,348529,44.492,255,B1
OREw_DGRP041_R1_24_03-1.tif,1,296313,296313,37.826,255,B1
OREw_DGRP041_R1_24_04-1.tif,1,333523,333523,42.576,255,B1
OREw_DGRP041_R1_24_05-1.tif,1,333482,333482,42.571,255,B1
OREw_DGRP041_R1_24_06-1.tif,1,332404,332404,42.433,255,B1
OREw_DGRP041_R1_24_07-1.tif,1,350699,350699,44.769,255,B1
OREw_DGRP041_R1_24_08-1.tif,1,311482,311482,39.762,255,B1
OREw_DGRP041_R1_24_09-1.tif,1,207713,207713,26.516,255,B1
OREw_DGRP041_R1_24_10-1.tif,1,339023,339023,43.278,255,B1
OREw_DGRP041_R1_24_11-1.tif,1,311089,311089,39.712,255,B1
OREw_DGRP041_R1_24_12-1.tif,1,247057,247057,31.538,255,B1
OREw_DGRP041_R1_24_13-1.tif,1,267642,267642,34.166,255,B1
OREw_DGRP041_R1_24_14-1.tif,1,247407,247407,31.583,255,B1
OREw_DGRP041_R1_24_15-1.tif,1,234757,234757,29.968,255,B1
OREw_DGRP041_R1_24_16-1.tif,1,274271,274271,35.012,255,B1
OREw_DGRP041_R1_24_17-1.tif,1,303621,303621,38.759,255,B1
OREw_DGRP041_R1_24_18-1.tif,1,265940,265940,33.949,255,B1
OREw_DGRP041_R1_24_19-1.tif,1,229807,229807,29.336,255,B1
OREw_DGRP041_R1_24_20-1.tif,1,217178,217178,27.724,255,B1
OREw_DGRP042_R1_24_01-1.tif,1,326569,326569,41.688,255,B1
OREw_DGRP042_R1_24_02-1.tif,1,340276,340276,43.438,255,B1
OREw_DGRP042_R1_24_03-1.tif,1,313941,313941,40.076,255,B1
OREw_DGRP042_R1_24_04-1.tif,1,315458,315458,40.27,255,B1
OREw_DGRP042_R1_24_05-1.tif,1,345949,345949,44.162,255,B1
OREw_DGRP042_R1_24_06-1.tif,1,359176,359176,45.851,255,B1
OREw_DGRP042_R1_24_07-1.tif,1,275122,275122,35.121,255,B1
OREw_DGRP042_R1_24_08-1.tif,1,316338,316338,40.382,255,B1
