"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block","Area_mmsq"
"277","OREw",28,24,354473,45.25,1,1.6385514425
"278","OREw",28,24,295755,37.755,1,1.3671274875
"279","OREw",28,24,284389,36.304,1,1.3145881525
"280","OREw",28,24,303624,38.759,1,1.40350194
"281","OREw",28,24,284106,36.268,1,1.313279985
"282","OREw",28,24,341573,43.604,1,1.5789211925
"283","OREw",28,24,279439,35.672,1,1.2917067775
"284","OREw",28,24,315526,40.279,1,1.458518935
"285","OREw",28,24,320465,40.909,1,1.4813494625
"286","OREw",28,24,294005,37.531,1,1.3590381125
"287","OREw",28,24,299699,38.258,1,1.3853586275
"288","OREw",28,24,304233,38.837,1,1.4063170425
"289","OREw",28,24,319310,40.762,1,1.476010475
"290","OREw",28,24,230466,29.42,1,1.065329085
"291","OREw",28,24,314450,40.141,1,1.453545125
"292","OREw",28,24,340197,43.428,1,1.5725606325
"293","OREw",28,24,297652,37.997,1,1.37589637
"294","OREw",28,24,278864,35.598,1,1.28904884
"295","OREw",28,24,274446,35.034,1,1.268626635
"296","OREw",31,24,342291,43.695,1,1.5822401475
"297","OREw",31,24,316278,40.375,1,1.461995055
"298","OREw",31,24,291200,37.173,1,1.346072
"299","OREw",31,24,309021,39.448,1,1.4284495725
"300","OREw",31,24,351425,44.861,1,1.6244620625
"301","OREw",31,24,298800,38.143,1,1.381203
"302","OREw",31,24,290147,37.039,1,1.3412045075
"303","OREw",31,24,282908,36.115,1,1.30774223
"304","OREw",31,24,352078,44.945,1,1.627480555
"305","OREw",31,24,301499,38.488,1,1.3936791275
"306","OREw",31,24,365205,46.62,1,1.6881601125
"307","OREw",31,24,309533,39.514,1,1.4308162925
"308","OREw",31,24,332350,42.426,1,1.536287875
"309","OREw",31,24,281337,35.914,1,1.3004802825
"310","OREw",31,24,325308,41.527,1,1.50373623
"311","OREw",31,24,340689,43.491,1,1.5748349025
"312","OREw",31,24,346756,44.265,1,1.60287961
"313","OREw",32,24,345718,44.133,1,1.598081455
"314","OREw",32,24,314291,40.121,1,1.4528101475
"315","OREw",32,24,328536,41.939,1,1.51865766
"316","OREw",32,24,327929,41.862,1,1.5158518025
"317","OREw",32,24,365033,46.598,1,1.6873650425
"318","OREw",32,24,316627,40.419,1,1.4636083075
"319","OREw",32,24,289276,36.928,1,1.33717831
"320","OREw",32,24,306413,39.115,1,1.4163940925
