"Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"OREw","028",24,284389,36.304,"1"
"OREw","028",24,303624,38.759,"1"
"OREw","028",24,284106,36.268,"1"
"OREw","028",24,341573,43.604,"1"
"OREw","028",24,279439,35.672,"1"
"OREw","028",24,315526,40.279,"1"
"OREw","028",24,320465,40.909,"1"
"OREw","028",24,294005,37.531,"1"
"OREw","028",24,299699,38.258,"1"
"OREw","028",24,304233,38.837,"1"
"OREw","028",24,319310,40.762,"1"
"OREw","028",24,230466,29.42,"1"
"OREw","028",24,314450,40.141,"1"
"OREw","028",24,340197,43.428,"1"
"OREw","028",24,297652,37.997,"1"
"OREw","028",24,278864,35.598,"1"
"OREw","028",24,274446,35.034,"1"
"OREw","031",24,342291,43.695,"1"
"OREw","031",24,316278,40.375,"1"
"OREw","031",24,291200,37.173,"1"
"OREw","031",24,309021,39.448,"1"
"OREw","031",24,351425,44.861,"1"
"OREw","031",24,298800,38.143,"1"
"OREw","031",24,290147,37.039,"1"
"OREw","031",24,282908,36.115,"1"
"OREw","031",24,352078,44.945,"1"
"OREw","031",24,301499,38.488,"1"
"OREw","031",24,365205,46.62,"1"
"OREw","031",24,309533,39.514,"1"
"OREw","031",24,332350,42.426,"1"
"OREw","031",24,281337,35.914,"1"
"OREw","031",24,325308,41.527,"1"
"OREw","031",24,340689,43.491,"1"
"OREw","031",24,346756,44.265,"1"
"OREw","032",24,345718,44.133,"1"
"OREw","032",24,314291,40.121,"1"
"OREw","032",24,328536,41.939,"1"
"OREw","032",24,327929,41.862,"1"
"OREw","032",24,365033,46.598,"1"
"OREw","032",24,316627,40.419,"1"
"OREw","032",24,289276,36.928,"1"
"OREw","032",24,306413,39.115,"1"
"OREw","032",24,358300,45.739,"1"
"OREw","032",24,295190,37.683,"1"
"OREw","032",24,314066,40.092,"1"
"OREw","032",24,350757,44.776,"1"
"OREw","032",24,257955,32.929,"1"
"OREw","032",24,328333,41.913,"1"
