"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"230","OREw","045","24",249488,31.848,"B1"
"231","OREw","045","24",343579,43.86,"B1"
"232","OREw","045","24",331902,42.369,"B1"
"233","OREw","045","24",241028,30.768,"B1"
"234","OREw","045","24",310694,39.662,"B1"
"235","OREw","045","24",255821,32.657,"B1"
"236","OREw","045","24",277839,35.468,"B1"
"237","OREw","045","24",269192,34.364,"B1"
"238","OREw","045","24",238774,30.481,"B1"
"239","OREw","045","24",256419,32.733,"B1"
"240","OREw","045","24",343734,43.879,"B1"
"241","OREw","045","24",280327,35.785,"B1"
"242","OREw","045","24",338036,43.152,"B1"
"243","OREw","045","24",294757,37.627,"B1"
"244","OREw","045","24",349384,44.601,"B1"
"245","OREw","021","24",333515,42.575,"B1"
"246","OREw","021","24",333049,42.515,"B1"
"247","OREw","021","24",331435,42.309,"B1"
"248","OREw","021","24",331400,42.305,"B1"
"249","OREw","021","24",269441,34.396,"B1"
"250","OREw","021","24",357247,45.604,"B1"
"251","OREw","021","24",283997,36.254,"B1"
"252","OREw","021","24",271421,34.648,"B1"
"253","OREw","021","24",314559,40.155,"B1"
"254","OREw","021","24",345954,44.163,"B1"
"255","OREw","021","24",322215,41.132,"B1"
"256","OREw","021","24",339955,43.397,"B1"
"257","OREw","021","24",345806,44.144,"B1"
"258","OREw","021","24",301706,38.514,"B1"
"259","OREw","021","24",284453,36.312,"B1"
"260","OREw","021","24",278032,35.492,"B1"
"261","OREw","021","24",331677,42.34,"B1"
"262","OREw","026","24",333742,42.604,"B1"
"263","OREw","026","24",315300,40.25,"B1"
"264","OREw","026","24",304115,38.822,"B1"
"265","OREw","026","24",349131,44.568,"B1"
"266","OREw","026","24",346928,44.287,"B1"
"267","OREw","026","24",307433,39.245,"B1"
"268","OREw","026","24",346217,44.196,"B1"
"269","OREw","026","24",305272,38.97,"B1"
"270","OREw","026","24",290808,37.123,"B1"
"271","OREw","026","24",264870,33.812,"B1"
"272","OREw","026","24",332813,42.485,"B1"
"273","OREw","026","24",307007,39.191,"B1"
"274","OREw","026","24",370783,47.332,"B1"
"275","OREw","026","24",289482,36.954,"B1"
"276","OREw","028","24",306819,39.167,"B1"
"277","OREw","028","24",354473,45.25,"B1"
"278","OREw","028","24",295755,37.755,"B1"
"279","OREw","028","24",284389,36.304,"B1"
"280","OREw","028","24",303624,38.759,"B1"
"281","OREw","028","24",284106,36.268,"B1"
"282","OREw","028","24",341573,43.604,"B1"
"283","OREw","028","24",279439,35.672,"B1"
"284","OREw","028","24",315526,40.279,"B1"
"285","OREw","028","24",320465,40.909,"B1"
"286","OREw","028","24",294005,37.531,"B1"
"287","OREw","028","24",299699,38.258,"B1"
"288","OREw","028","24",304233,38.837,"B1"
"289","OREw","028","24",319310,40.762,"B1"
"290","OREw","028","24",230466,29.42,"B1"
"291","OREw","028","24",314450,40.141,"B1"
"292","OREw","028","24",340197,43.428,"B1"
"293","OREw","028","24",297652,37.997,"B1"
"294","OREw","028","24",278864,35.598,"B1"
"295","OREw","028","24",274446,35.034,"B1"
"296","OREw","031","24",342291,43.695,"B1"
"297","OREw","031","24",316278,40.375,"B1"
"298","OREw","031","24",291200,37.173,"B1"
"299","OREw","031","24",309021,39.448,"B1"
"300","OREw","031","24",351425,44.861,"B1"
"301","OREw","031","24",298800,38.143,"B1"
"302","OREw","031","24",290147,37.039,"B1"
"303","OREw","031","24",282908,36.115,"B1"
"304","OREw","031","24",352078,44.945,"B1"
"305","OREw","031","24",301499,38.488,"B1"
"306","OREw","031","24",365205,46.62,"B1"
"307","OREw","031","24",309533,39.514,"B1"
"308","OREw","031","24",332350,42.426,"B1"
"309","OREw","031","24",281337,35.914,"B1"
"310","OREw","031","24",325308,41.527,"B1"
"311","OREw","031","24",340689,43.491,"B1"
"312","OREw","031","24",346756,44.265,"B1"
"313","OREw","032","24",345718,44.133,"B1"
"314","OREw","032","24",314291,40.121,"B1"
"315","OREw","032","24",328536,41.939,"B1"
"316","OREw","032","24",327929,41.862,"B1"
"317","OREw","032","24",365033,46.598,"B1"
"318","OREw","032","24",316627,40.419,"B1"
"319","OREw","032","24",289276,36.928,"B1"
"320","OREw","032","24",306413,39.115,"B1"
"321","OREw","032","24",358300,45.739,"B1"
"322","OREw","032","24",295190,37.683,"B1"
"323","OREw","032","24",314066,40.092,"B1"
"324","OREw","032","24",350757,44.776,"B1"
"325","OREw","032","24",257955,32.929,"B1"
"326","OREw","032","24",328333,41.913,"B1"
"327","OREw","032","24",348277,44.459,"B1"
"328","OREw","032","24",362235,46.241,"B1"
"329","OREw","032","24",269841,34.447,"B1"
"330","OREw","032","24",296228,37.815,"B1"
"331","OREw","032","24",369453,47.163,"B1"
"332","OREw","032","24",309289,39.482,"B1"
"333","OREw","038","24",323847,41.341,"B1"
"334","OREw","038","24",342349,43.703,"B1"
"335","OREw","038","24",241932,30.884,"B1"
"336","OREw","038","24",291234,37.178,"B1"
"337","OREw","038","24",344478,43.974,"B1"
"338","OREw","038","24",300140,38.314,"B1"
"339","OREw","038","24",348060,44.432,"B1"
"340","OREw","038","24",379109,48.395,"B1"
